OBJECTNAME;LON;LAT;RB;DTF;COV;REGION;POC;POCLON;POCLAT
856a5813fffffff;34.35205;4.46243;1707.3;29.09812679;2G;856a5813fffffff;856a581bfffffff;34.26785;4.33496
856a5817fffffff;34.51188;4.45337;1305;33.26443516;2G;856a5817fffffff;856a5803fffffff;34.42781;4.32594
856a582ffffffff;34.89944;4.03431;1873.5;63.66848265;2G;856a582ffffffff;856a580ffffffff;34.50364;4.18926
856a5833fffffff;34.74751;4.3078;685.2;45.63459125;2G;856a5833fffffff;856a580ffffffff;34.50364;4.18926
856a5837fffffff;34.90724;4.29869;606.6;62.776027240000005;2G;856a5837fffffff;856a580ffffffff;34.50364;4.18926
856a583bfffffff;34.66358;4.18021;824.7;34.77606719;2G;856a583bfffffff;856a580ffffffff;34.50364;4.18926
856a5863fffffff;34.49538;3.92437;2054.7;34.49861831;2G;856a5863fffffff;856a5873fffffff;34.41946;4.06141
856a5867fffffff;34.6555;3.91537;2234.1;46.25654765;2G;856a5867fffffff;856a5873fffffff;34.41946;4.06141
856a586bfffffff;34.4111;3.79611;672.3;45.28036359;2G;856a586bfffffff;856a5873fffffff;34.41946;4.06141
856a586ffffffff;34.57135;3.78715;2763.6;51.90288348;2G;856a586ffffffff;856a5873fffffff;34.41946;4.06141
856a5877fffffff;34.57954;4.0524;2764.8;30.18078837;2G;856a5877fffffff;856a580ffffffff;34.50364;4.18926
856a587bfffffff;34.33518;3.93333;1213.5;29.63792381;2G;856a587bfffffff;856a5873fffffff;34.41946;4.06141
856a588ffffffff;34.43613;4.58968;649.5;44.21527158999999;2G;856a588ffffffff;856a5803fffffff;34.42781;4.32594
856a58a7fffffff;34.91502;4.56229;1013.1;74.43246088;2G;856a58a7fffffff;856a5803fffffff;34.42781;4.32594
856a58affffffff;34.83132;4.43516;766.5;59.38997692;2G;856a58affffffff;856a580ffffffff;34.50364;4.18926
856a5903fffffff;35.54533;4.26195;1096.5;125.98117114;2G;856a5903fffffff;856a580ffffffff;34.50364;4.18926
856a5907fffffff;35.70464;4.2527;2128.2;125.47530188;2G;856a5907fffffff;857a59affffffff;35.677;3.19174
856a590bfffffff;35.46207;4.13457;736.5;112.69909604;2G;856a590bfffffff;856a5b27fffffff;35.51697;3.20075
856a590ffffffff;35.62151;4.12536;620.4;110.79779595;2G;856a590ffffffff;856a5b27fffffff;35.51697;3.20075
856a5913fffffff;35.46922;4.39837;2469;126.23835717;2G;856a5913fffffff;856a580ffffffff;34.50364;4.18926
856a5917fffffff;35.62848;4.3891;1487.1;140.01112619;2G;856a5917fffffff;856a580ffffffff;34.50364;4.18926
856a591bfffffff;35.38594;4.27118;849.6;115.33067281000001;2G;856a591bfffffff;856a580ffffffff;34.50364;4.18926
856a5923fffffff;35.94011;4.10686;1140;115.39450645;2G;856a5923fffffff;857a59affffffff;35.677;3.19174
856a592bfffffff;35.85714;3.97939;1417.8;99.08386813;2G;856a592bfffffff;857a59affffffff;35.677;3.19174
856a5933fffffff;35.86385;4.24342;2550.9;127.45820081;2G;856a5933fffffff;857a59affffffff;35.677;3.19174
856a593bfffffff;35.78086;4.11613;2830.2;111.72082565;2G;856a593bfffffff;857a59affffffff;35.677;3.19174
856a5963fffffff;35.61452;3.86085;1431.9;81.49893634;2G;856a5963fffffff;856a5b27fffffff;35.51697;3.20075
856a5967fffffff;35.77406;3.85168;1391.7;82.96263919;2G;856a5967fffffff;857a59affffffff;35.677;3.19174
856a596bfffffff;35.53119;3.73287;921.3;67.62324249000001;2G;856a596bfffffff;856a5b27fffffff;35.51697;3.20075
856a596ffffffff;35.69085;3.72374;1568.1;67.19055839;2G;856a596ffffffff;857a59affffffff;35.677;3.19174
856a5973fffffff;35.53827;3.9978;1288.8;96.80693362;2G;856a5973fffffff;856a5b27fffffff;35.51697;3.20075
856a5977fffffff;35.69775;3.9886;1876.5;96.32927228999999;2G;856a5977fffffff;857a59affffffff;35.677;3.19174
856a597bfffffff;35.45491;3.87;648.3;83.86576803999999;2G;856a597bfffffff;856a5b27fffffff;35.51697;3.20075
856a5983fffffff;35.47635;4.66139;1165.2;135.12631213;2G;856a5983fffffff;856a580ffffffff;34.50364;4.18926
856a5987fffffff;35.63543;4.65206;1006.8;151.2940001;2G;856a5987fffffff;856a580ffffffff;34.50364;4.18926
856a598bfffffff;35.39317;4.53461;3583.2;121.63401957;2G;856a598bfffffff;856a580ffffffff;34.50364;4.18926
856a598ffffffff;35.55238;4.52533;2685.6;138.32358629;2G;856a598ffffffff;856a580ffffffff;34.50364;4.18926
856a59abfffffff;35.78764;4.3798;1474.8;140.61347313;2G;856a59abfffffff;857a59affffffff;35.677;3.19174
856a59bbfffffff;35.71151;4.51602;1520.1;154.57531075999998;2G;856a59bbfffffff;856a580ffffffff;34.50364;4.18926
856a59c3fffffff;35.15044;4.41682;1497;92.05372142;2G;856a59c3fffffff;856a580ffffffff;34.50364;4.18926
856a59c7fffffff;35.30987;4.40761;840;109.04694257;2G;856a59c7fffffff;856a580ffffffff;34.50364;4.18926
856a59cffffffff;35.22646;4.28038;883.5;97.73170037999999;2G;856a59cffffffff;856a580ffffffff;34.50364;4.18926
856a59d7fffffff;35.23387;4.54387;1491.9;105.27206621;2G;856a59d7fffffff;856a580ffffffff;34.50364;4.18926
856a5b07fffffff;35.12028;3.35656;1654.8;58.3750553;2G;856a5b07fffffff;856a5b2ffffffff;35.43331;3.07173
856a5b13fffffff;34.8838;3.50324;3327.6;89.2197222;2G;856a5b13fffffff;856a5b2ffffffff;35.43331;3.07173
856a5b17fffffff;35.044;3.49426;1354.8;73.3811831;2G;856a5b17fffffff;856a5b27fffffff;35.51697;3.20075
856a5b1bfffffff;34.7997;3.37447;2197.5;92.37788497;2G;856a5b1bfffffff;856a5b2ffffffff;35.43331;3.07173
