OBJECTNAME;LON;LAT;RB;DTF;COV;REGION
876ad8b9cffffff;30.348167;-1.928646;110;9,48;2G;RWA
876adc29effffff;29.942596;-1.5068946;75;13,88;3G;RWA
876ad9ca1ffffff;30.847826;-2.1345155;54;29,47;2G;RWA
876ad8985ffffff;29.956371;-1.7081594;77;6,9;2G;RWA
876ada860ffffff;29.637497;-2.6386037;68;11,47;3G;RWA
876ad8d75ffffff;29.808762;-1.821222;48;18,13;3G;RWA
876ade3aaffffff;29.289951;-2.2376947;50;7,91;3G;RWA
876addc84ffffff;30.289984;-1.1640553;0;44,72;3G;RWA
876adeb55ffffff;29.411352;-1.7208526;55;7,77;3G;RWA
876ad805bffffff;30.35659;-2.2510016;88;20,47;3G;RWA
876adc694ffffff;29.553017;-1.7280042;83;11,38;2G;RWA
876adeb0cffffff;29.32975;-1.6966518;322;6,95;2G;RWA
876adc6a0ffffff;29.604284;-1.650301;59;13,59;3G;RWA
876ade059ffffff;29.210278;-2.17322;8;6,85;3G;RWA
876adeb54ffffff;29.387741;-1.7196596;102;9,39;3G;RWA
876adc24effffff;30.246052;-1.3418695;83;28,92;2G;RWA
876ad8cdeffffff;29.825315;-2.2042558;85;4,54;2G;RWA
876ada804ffffff;29.469557;-2.6705456;60;6,97;2G;RWA
876ad8b65ffffff;30.608284;-1.6806046;6;27,21;2G;RWA
876adc769ffffff;29.864985;-1.4028133;74;27,16;2G;RWA
876ad8ca3ffffff;29.67659;-2.0960956;67;6,95;2G;RWA
876ad8a90ffffff;30.376965;-2.0708427;50;14,4;2G;RWA
876adc29cffffff;29.955372;-1.4874954;63;13,59;3G;RWA
876adc66effffff;29.893448;-1.544515;43;11,23;3G;RWA
876ade769ffffff;29.23637;-2.355936;11;11,88;3G;RWA
876ad8c42ffffff;29.916998;-2.0276937;52;15,96;2G;RWA
876add42dffffff;30.51427;-1.4153657;27;19,54;2G;RWA
876add526ffffff;30.34412;-1.2667507;70;32,17;2G;RWA
876ad89a0ffffff;29.934732;-1.6669346;76;2,63;2G;RWA
876adc6daffffff;29.774332;-1.7994019;51;18,13;3G;RWA
876adc44affffff;29.507238;-1.4649245;43;12,03;2G;RWA
876adc621ffffff;29.717512;-1.5156128;57;7,89;2G;RWA
876ade208ffffff;29.47719;-2.287468;23;24,78;3G;RWA
876ad826cffffff;30.78233;-2.272179;74;18,44;2G;RWA
876addc0affffff;30.435047;-1.0914042;46;51,18;3G;RWA
876ad8112ffffff;30.033232;-2.0737655;45;24,76;2G;RWA
876ade380ffffff;29.253418;-2.2559974;34;4,54;2G;RWA
876adc761ffffff;29.807032;-1.3798697;90;23,12;2G;RWA
876ad895effffff;30.183521;-1.6593574;63;18,27;3G;RWA
876ad808dffffff;30.152615;-2.3012555;5;2,64;2G;RWA
876adc698ffffff;29.621832;-1.771636;126;15,69;2G;RWA
876adc61effffff;29.6879;-1.6344502;67;5,18;3G;RWA
