METHODOLOGY;ALGORITHM;FORMULA;PNAME;PDESC;UNIT;RSTART;REND;STEP;DVALUE;TYPE;TYPE2;SORTA;SORTM
METHOD2;ALL;;;;;;;;;;;;
METHOD2;ALGORITHM2_0;ALL;;;;;;;;IM;;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_1;InitialDataTraffic.InformationVolume;Information volume by one standard session for a particular service;Mbyte;0.00;10000.00;1.00;20.00;ID;ID;1;1
METHOD2;ALGORITHM2_0;FORMULA_2_0_1;InitialDataTraffic.BitrateOfService;Sufficient bitrate for service usage with a given level of quality;Mbit/s;1.00;1000.00;1.00;5.00;ID;ID;2;2
METHOD2;ALGORITHM2_0;FORMULA_2_0_2;InitialDataTraffic.IntensivityPerUser;Service usage intensity by one subscriber (the number of requests) ;request/hour;0.00;100.00;1.00;3.00;ID;ID;3;3
METHOD2;ALGORITHM2_0;FORMULA_2_0_2;InitialDataTraffic.NumberOfSubscribers;Number of subscribers ;people;0.00;20000.00;1.00;100.00;ID;ID;4;4
METHOD2;ALGORITHM2_0;FORMULA_2_0_3;Intermediate.OveralIntensivity;Expected request intensity;request/hour;0.00;1000.00;1.00;3.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_3;Intermediate.DurationOfOneSession;Duration of the one session;sec;0.00;5000.00;100.00;10.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_4;Intermediate.ExternalLoad;External channel load;Erlang;0.00;100.00;1.00;10.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_4;InitialDataTraffic.LevelOfQuality;Level of quality (probablity of packet looses) ;coeff;0.00;1.00;0.00;0.00;ID;ID;5;5
METHOD2;ALGORITHM2_0;FORMULA_2_0_5;Intermediate.NumberOfSessions;Number of parallel sessions;sessions;0.00;1000.00;1.00;10.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_5;InitialDataTraffic.BitrateOfService;Sufficient bitrate for service usage with a given level of quality;Mbit/s;1.00;1000.00;1.00;5.00;IM;IM;;
METHOD2;ALGORITHM2_0;FORMULA_2_0_6;Intermediate.OveralNetworkCapacity;Overall network channel capacity, required for parallel sessions;Mbit/s;1.00;10000.00;5.00;5.00;IM;IM;;
METHOD2;ALGORITHM2_1;ALL;;;;;;;;IM;;;
METHOD2;ALGORITHM2_1;FORMULA_2_1_1;InitialDataFOCL.Length;The distance between the localities along intended FOCL route;km;0.10;40.00;0.10;20.00;ID;ID;2;9
