METHODOLOGY;ALGORITHM;FORMULA;PNAME;PDESC;UNIT;RSTART;REND;STEP;DVALUE;TYPE;TYPE2;SORTA;SORTM
METHOD1;ALL;;;;;;;;;;;;
METHOD1;ALGORITHM1_1;ALL;AccessTechnologyOptionsSet.MediumTypeOfSL;Type of transmission medium for the organization of subscriber lines ;(1 - wireless, 2 - copper, 3 - fiber-optic);1;3;1;1;ID;ID;6;6
METHOD1;ALGORITHM1_1;FORMULA_1_1_1;GeographicalParametersSet.Square;Total area of the object (design area);sq km;1;1000;0.1;10;ID;ID;1;1
METHOD1;ALGORITHM1_1;FORMULA_1_1_1;GeographicalParametersSet.BuiltupArea;Percentage of build-up area of the object;%;1;100;1;50;ID;ID;2;2
METHOD1;ALGORITHM1_1;FORMULA_1_1_2;GeographicalParametersSet.Square;Total area of the object (design area);sq km;1;1000;0.1;20;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_2;Intermediate.BuiltupArea;Build-up area;sq km;1;1000;0.1;10;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_2;GeographicalParametersSet.ReliefCoef;Coefficient of considering the terrain relief (the ability to reduce or increase the signal range for wireless technology due to the features of the terrain relief);coeff;0.1;2;0.1;0.6;ID;ID;3;3
METHOD1;ALGORITHM1_1;FORMULA_1_1_2;AccessTechnologyOptionsSet.RadiusEOA;Territory coverage area radius for one of AOE unit (maximum length of subscriber lines, distance of signal propagation in the absence of buildings, etc.);km;0.1;40;0.1;0.5;ID;ID;7;9
METHOD1;ALGORITHM1_1;FORMULA_1_1_3;Intermediate.BuiltupArea;Built-up area;sq km;1;500;0.5;5;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_3;DevelopmentParametersSet.PrivateHouses;Percentage of private (low-rise) dwellings;%;0;100;1;30;ID;ID;11;59
METHOD1;ALGORITHM1_1;FORMULA_1_1_3;AccessTechnologyOptionsSet.RadiusEOA;Territory coverage area radius for one of AOE unit (maximum length of subscriber lines, distance of signal propagation in the absence of buildings, etc.);km;0.1;40;0.1;0.5;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_3;AccessTechnologyOptionsSet.ReduceRadius;Coefficient of reduction of the radius of coverage due to density of buildings and basic building materials;coeff;0.1;1;0.1;0.7;ID;ID;8;10
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;GeographicalParametersSet.Square;Total area of the object (design area);sq km;1;1000;0.1;10;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;GeographicalParametersSet.BuiltupArea;Percentage of build-up area of the object;%;1;100;1;50;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;DevelopmentParametersSet.BuildingDensity;Building density;buildings/sq km;1;100;1;5;ID;ID;12;60
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;DevelopmentParametersSet.AverageFloorsLowrise;Average number of floors in a middle-rise building;floors;1;10;1;3;ID;ID;13;61
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;DevelopmentParametersSet.LowriseMultifamily;Percentage of middle-rise multi-apartment buildings;%;0;100;1;40;ID;ID;14;62
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;DevelopmentParametersSet.AverageMultistorey;Average number of floors in a high-rise building;floors;5;30;1;9;ID;ID;15;63
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;DevelopmentParametersSet.MultistoryMultifamily;Percentage of high-rise multi-apartment buildings;%;0;100;1;30;ID;ID;16;64
METHOD1;ALGORITHM1_1;FORMULA_1_1_4;AccessTechnologyOptionsSet.QuantityFloorsEOA;Number of floors covered by signal per one AOE unit;floors;1;4;1;2;ID;ID;9;11
METHOD1;ALGORITHM1_1;FORMULA_1_1_5;Intermediate.BuiltupArea;Build-up area;sq km;1;500;0.5;5;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_5;AccessTechnologyOptionsSet.RadiusEOA;Territory coverage area radius for one of AOE unit (maximum length of subscriber lines, distance of signal propagation in the absence of buildings, etc.);km;0.1;40;0.1;0.5;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_6;Intermediate.BuiltupArea;Build-up area;sq km;1;500;0.5;5;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_6;DevelopmentParametersSet.BuildingDensity;Building density;buildings/sq km;0.1;100;0.1;5;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_6;DevelopmentParametersSet.PrivateHouses;Percentage of private sector (low-rise) dwellings;%;0;100;1;30;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_6;AccessTechnologyOptionsSet.NumberSubscribersEOA;Number of subscribers that can be served by one unit of AOE (number of subscriber ports, number of subscribers that form the maximum number of simultaneous connections. etc.);peoples;1;1000;1;50;ID;ID;10;12
METHOD1;ALGORITHM1_1;FORMULA_1_1_6;DevelopmentParametersSet.LowriseMultifamily;Percentage of middle-rise multi-apartment buildings;%;0;100;1;40;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_6;DevelopmentParametersSet.MultistoryMultifamily;Percentage of high-rise multi-apartment buildings;%;0;100;1;30;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_7;PopulationOptionsSet.Population;Number of permanent residents living in the locality;peoples;1;10000000;100;10000;ID;ID;4;4
METHOD1;ALGORITHM1_1;FORMULA_1_1_7;PopulationOptionsSet.TouristPopulation;Number of additional non-permanent residents living in this locality simultaneously;peoples;1;1000000;100;1000;ID;ID;5;5
METHOD1;ALGORITHM1_1;FORMULA_1_1_7;AccessLevelOptionsSet.DemandTourist;Percent of non-permanent residents who are interested in broadband services;%;1;100;10;20;ID;ID;17;65
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;Intermediate.BaseNumberOfPopulation;Number of solvent population;people;1;10000000;100;10000;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;AccessLevelOptionsSet.Household;Nepotism rate (the average number of people in the family);people;1;10;1;3;ID;ID;18;66
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;DemandOptionsSet.PayableYounger;Percentage of solvent population of the younger age group (up to 25 years old);%;1;100;1;40;ID;ID;23;67
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;AccessLevelOptionsSet.DemandPopulationYounger;Percentage of the population of the younger age group (up to 25 years old) who are interested in broadband services;%;1;100;1;30;ID;ID;19;68
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;DemandOptionsSet.PayableAverageAge;Percentage of solvent population of the middle age group (from 25 to 55 years old);%;1;100;1;30;ID;ID;24;69
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;AccessLevelOptionsSet.DemandPopulationAverageAge;Percentage of population of the middle age group (from 25 to 55 years old) who are interested in broadband  services;%;1;100;1;30;ID;ID;20;70
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;DemandOptionsSet.PayableAdult;Percentage of solvent population of the older age group (over 55 years old);%;1;100;1;40;ID;ID;24;71
METHOD1;ALGORITHM1_1;FORMULA_1_1_8;AccessLevelOptionsSet.DemandPopulationAdult;Percentage of the population of the older age group (over 55 years old) who are interested in broadband services;%;1;100;1;40;ID;ID;21;72
METHOD1;ALGORITHM1_1;FORMULA_1_1_9;Intermediate.BaseSubscribers;Permanent residents for estimation of potential subscribers base;people;1;10000000;100;10000;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_9;AccessLevelOptionsSet.PopulationCoveredBroadband;Percentage of population using broadband services;%;1;100;5;40;ID;ID;22;73
METHOD1;ALGORITHM1_1;FORMULA_1_1_10;Intermediate.Subscribers;Number of solvent population not covered by competitors (number of potential subscribers);people;1;10000000;100;10000;IM;;;
METHOD1;ALGORITHM1_1;FORMULA_1_1_10;AccessTechnologyOptionsSet.NumberSubscribersEOA;Number of subscribers that can be served by one unit of AOE (number of subscriber ports, number of subscribers that form the maximum number of simultaneous connections. etc.);peoples;1;1000;5;24;IM;;;
METHOD1;ALGORITHM1_2;ALL;AccessTechnologyOptionsSet.MediumTypeOfCL;Type of transmission medium for the organization of trunks of a distribution network;(1 - wireless, 2 - copper, 3 - fiber-optic);1;3;1;2;ID;ID;5;7
METHOD1;ALGORITHM1_2;ALL;GeographicalParametersSet.Square;Total area of the object (design area);sq km;1;5000;0.5;10;ID;;3;
METHOD1;ALGORITHM1_2;ALL;Intermediate.BuiltupArea;Build-up area;sq km;1;5000;0.5;10;ID;;1;
METHOD1;ALGORITHM1_2;FORMULA_1_2_1;Intermediate.NetworkArea;Network area;sq km;1;5000;0.5;10;IM;;;
