OBJECTNAME;LON;LAT;RB;DTF;COV;REGION
878a9271effffff;-51.945453643798835;-2.811883687973022;84.548;9.7636572265625;2G;878a9271effffff
87a82ac89ffffff;-51.47195816040039;-24.099685668945313;339.122;3.531462646484375;2G;87a82ac89ffffff
87a828ca8ffffff;-52.519073486328125;-24.591934204101563;456.564;9.8613759765625;2G;87a828ca8ffffff
87a89e45effffff;-39.8631477355957;-18.254987716674805;357.991;9.988716796875;2G;87a89e45effffff
878ba2d0bffffff;-56.270118713378906;-14.754509925842283;53.597;6.98213916015625;2G;878ba2d0bffffff
87a82b02bffffff;-52.90647506713867;-23.28080368041992;31.702;9.177197265625;2G;87a82b02bffffff
87a82b51dffffff;-52.40892028808594;-23.365800857543945;49.396;8.908197265625;2G;87a82b51dffffff
87a80cbb2ffffff;-52.04032516479492;-23.022716522216797;14.513;9.2089140625;2G;87a80cbb2ffffff
878066023ffffff;-49.173095703125;-3.807651996612549;544.099;8.843564453125;2G;878066023ffffff
87a8ed750ffffff;-53.55744552612305;-17.004772186279297;32.831;7.529216796875;2G;87a8ed750ffffff
87a82144bffffff;-51.66101074218751;-25.758068084716797;142.337;7.424417968750001;2G;87a82144bffffff
878048640ffffff;-50.96190643310547;2.582447528839111;25.18;9.6523896484375;2G;878048640ffffff
878b8c28dffffff;-58.46297073364258;-10.38402271270752;895.635;6.884949218750001;2G;878b8c28dffffff
87a8006cbffffff;-49.654205322265625;-23.475709915161133;101.477;8.8487177734375;2G;87a8006cbffffff
87a8213b1ffffff;-52.039588928222656;-25.746871948242187;22.367;8.0645537109375;2G;87a8213b1ffffff
87a89e09effffff;-40.01390075683594;-18.333534240722656;65.278;8.50426171875;2G;87a89e09effffff
87a9535b4ffffff;-53.34398651123047;-25.87644386291504;79.589;8.146583984375;2G;87a9535b4ffffff
878048645ffffff;-50.98250961303711;2.570966958999634;2.818;9.1724345703125;2G;878048645ffffff
878a34903ffffff;-61.28702926635742;-11.678443908691406;34.385;9.2403994140625;2G;878a34903ffffff
87a82820dffffff;-53.22527694702149;-23.972406387329105;21.012;8.9748779296875;2G;87a82820dffffff
87a8282abffffff;-53.07792282104492;-23.932945251464844;128.928;9.5696396484375;2G;87a8282abffffff
87a975c10ffffff;-55.82015228271485;-29.718257904052734;23.672;8.03614208984375;2G;87a975c10ffffff
878a2cd01ffffff;-65.42762756347656;-9.6782808303833;63.796;8.15183837890625;2G;878a2cd01ffffff
878068a1effffff;-52.44586563110352;-0.809036076068878;557.762;6.094620117187499;2G;878068a1effffff
878ae585affffff;-64.63153839111328;-3.390293121337891;915.487;8.796984375;2G;878ae585affffff
87a8011b3ffffff;-50.60961151123047;-23.570043563842773;119.883;6.55296728515625;2G;87a8011b3ffffff
87a822754ffffff;-49.778568267822266;-25.829116821289063;457.978;8.6062216796875;2G;87a822754ffffff
87a8282a9ffffff;-53.099098205566406;-23.94159698486328;374.36;7.470208007812501;2G;87a8282a9ffffff
87a82bcd6ffffff;-52.47588348388672;-23.477130889892575;2.581;7.6738203125;2G;87a82bcd6ffffff
87a8d9ca5ffffff;-49.039451599121094;-13.41460418701172;84.948;8.7273740234375;2G;87a8d9ca5ffffff
87a80c504ffffff;-51.36798477172851;-22.989789962768555;9.906;9.6036796875;2G;87a80c504ffffff
87a82ac88ffffff;-51.45137023925781;-24.111881256103516;3.3;3.8206650390625;2G;87a82ac88ffffff
87a820adbffffff;-51.32495880126953;-26.35257911682129;301.537;6.400404296875;2G;87a820adbffffff
87a82b525ffffff;-52.454647064208984;-23.46829605102539;13.645;9.7085498046875;2G;87a82b525ffffff
87a828002ffffff;-52.863800048828125;-24.32038688659668;91.836;9.859154296875;2G;87a828002ffffff
87a82bc89ffffff;-52.4766960144043;-23.498308181762695;3.253;8.3786904296875;2G;87a82bc89ffffff
87a80c4ecffffff;-51.4202766418457;-22.6959228515625;174.594;7.636661132812501;2G;87a80c4ecffffff
878a00220ffffff;-63.07002639770508;-7.438415050506592;230.58;9.683341796875;2G;878a00220ffffff
878180350ffffff;-35.28326416015625;-8.466106414794922;21.473;9.6749599609375;2G;878180350ffffff
87a881654ffffff;-43.31158447265625;-19.604490280151367;14.036;9.3549990234375;2G;87a881654ffffff
87a8287b4ffffff;-52.542816162109375;-24.127498626708984;26.006;7.7405615234375;2G;87a8287b4ffffff
87a82b8c3ffffff;-52.99779510498047;-23.485246658325195;73.36;9.0730751953125;2G;87a82b8c3ffffff
87a82ca5cffffff;-53.485694885253906;-25.26460838317871;108.252;9.0666552734375;2G;87a82ca5cffffff
87a80039bffffff;-49.89671325683594;-23.747913360595703;240.609;5.96192822265625;2G;87a80039bffffff
878af5db2ffffff;-61.247276306152344;-3.232378244400024;263.245;8.515490234375;2G;878af5db2ffffff
878b9c245ffffff;-55.78575897216797;-10.043012619018556;220.093;9.8634013671875;2G;878b9c245ffffff
87a8ac151ffffff;-45.64801406860352;-22.213958740234375;220.385;6.938513671875;2G;87a8ac151ffffff
87a82e34bffffff;-52.352088928222656;-24.606340408325195;76.023;7.391470703125;2G;87a82e34bffffff
