OBJECTNAME;LON;LAT;RB;DTF;COV
1-Kabarbarma;36.80392075;1.259412408;40;2.0718288736121;3G
2-Kabochony;35.80089549;0.44000182;39.5;8.9715532708544;3G
3-Kapkiai;35.80550385;0.426389456;38.25;10.412583352521;3G
4-Kapkomoi;35.81077178;0.49374443;40;7.5834148486133;3G
5-Kapngelel;35.74663925;0.491596401;40;0.65177105711852;3G
6-Kaptorokwo;35.79557037;0.446596086;40;8.0383015153057;3G
7-Kasore;36.06618881;-0.287492603;49;1.0414542817432;3G
"8-Kipkaech B D";35.81112627;0.47812043;40;7.8709365644338;3G
9-Kitumbei;35.79097748;0.471440315;40;6.023493831328;3G
10-Kituro;35.78439331;0.479925245;40;4.9709875491699;3G
