OBJECT;PARENT;NAME;
METHOD1;;Methodology for technology selection for implementation broadband access networks in localities;
ALGORITHM1_1;METHOD1;Algorithm for determining the number of active AOEs and the number of installation locations;
FORMULA_1_1_1;ALGORITHM1_1;Built-up area (sq km);
FORMULA_1_1_2;ALGORITHM1_1;Number of locations for AOEs installation to provide the coverage for area without buildings (locations);
FORMULA_1_1_3;ALGORITHM1_1;Number of locations for AOEs installation to provide the coverage for urban residential area of an object with low-rise dwellings (locations);
FORMULA_1_1_4;ALGORITHM1_1;Number of locations for AOEs installation to provide the coverage for urban residential area of an object with high-rise buildings (locations);
FORMULA_1_1_5;ALGORITHM1_1;Number locations for AOEs installation, determined by the build-up area (locations);
FORMULA_1_1_6;ALGORITHM1_1;Number of buildings in the built-up part of the object (buildings);
FORMULA_1_1_7;ALGORITHM1_1;Number of permanent residents for calculating the potential subscriber base (people);
FORMULA_1_1_8;ALGORITHM1_1;Number of solvent population in this object (people);
FORMULA_1_1_9;ALGORITHM1_1;Number of solvent population not served by competitors (number of potential subscribers) (people);
FORMULA_1_1_10;ALGORITHM1_1;Number of AOE units enough to cover the required number of subscribers (units);
ALGORITHM1_2;METHOD1;Algorithm for determining the number of active TEAPs and the number of installation locations;
FORMULA_1_2_1;ALGORITHM1_2;Number of locations for TEAPs installations to cover all AOEs, uniformly located throughout the object (locations);
FORMULA_1_2_2;ALGORITHM1_2;Network radius (km);
FORMULA_1_2_3;ALGORITHM1_2;Number of TEAPs units required to connect a given number of AOEs throughout the object (units);
ALGORITHM1_3;METHOD1;"Algorithm for determining the length of subscriber lines and amount of work
for deployment of the new infrastructure for their installation";
FORMULA_1_3_1;ALGORITHM1_3;Number of subscribers located in the near (30% of the maximum distance), middle (60% of the maximum distance) and far (100% of the distance) zones from the AOE (subscribers);
FORMULA_1_3_2;ALGORITHM1_3;Length of indoor subscriber lines and outside subscriber lines to cover subscribers located in the near, middle and far zones from the AOEs (km);
FORMULA_1_3_3;ALGORITHM1_3;Length of aggregated cables for indoor and outdoor lines (km);
ALGORITHM1_4;METHOD1;Algorithm for determining the length of links (distribution and aggregation segments) and the amount of work for deployment of the new infrastructure for their installation;
FORMULA_1_4_1;ALGORITHM1_4;Length of the outdoor links of the distribution segment (km);
FORMULA_1_4_2;ALGORITHM1_4;Length of the outdoor links of the aggregation segment (km);
FORMULA_1_4_3;ALGORITHM1_4;Length of the aggregated cables of links of the distribution segment (km);
FORMULA_1_4_4;ALGORITHM1_4;Length of aggregated cables for aggregation segment links (km);
ALGORITHM1_5;METHOD1;Algorithm for determining the cost of equipment and materials for access network deployment;
FORMULA_1_5_1;ALGORITHM1_5;Cost of all AOEs (currency units);
FORMULA_1_5_2;ALGORITHM1_5;Cost of all distribution TEAPs (currency units);
FORMULA_1_5_3;ALGORITHM1_5;Cost of materials for the arrangement of AOEs locations (currency units);
FORMULA_1_5_4;ALGORITHM1_5;Cost of materials for arranging locations for distribution TEAPs (currency units);
FORMULA_1_5_5;ALGORITHM1_5;Cost of materials for laying (or hanging-up) subscriber cables (currency units);
FORMULA_1_5_6;ALGORITHM1_5;Cost of materials for laying (or hanging-up) distribution cable (currency units);
FORMULA_1_5_7;ALGORITHM1_5;Cost of materials for laying (or hanging-up) cables of the aggregation segment (currency units);
FORMULA_1_5_8;ALGORITHM1_5;Cost of materials for the installation of cable channels in residential buildings (currency units);
FORMULA_1_5_9;ALGORITHM1_5;Cost of materials for the construction of new infrastructure, which should be built for the hanging-up of outdoor links and subscriber cables (currency units);
ALGORITHM1_6;METHOD1;Algorithm for determining the cost of work on access network deployment;
FORMULA_1_6_1;ALGORITHM1_6;Time budget for installation work on arrangement for AOEs locations (hours);
FORMULA_1_6_2;ALGORITHM1_6;Cost of installation work on the arrangement of locations for AOEs (currency units);
FORMULA_1_6_3;ALGORITHM1_6;Time budget for  installation works on arrangement of locations for TEAPs (hours);
FORMULA_1_6_4;ALGORITHM1_6;Cost of installation work on the arrangement of locations for TEAPs (currency units);
FORMULA_1_6_5;ALGORITHM1_6;Time budget for installation and configuration of AOEs (hours);
FORMULA_1_6_6;ALGORITHM1_6;Cost of installation and configuration of AOEs (currency units);
FORMULA_1_6_7;ALGORITHM1_6;Time budget for installation and configuration of TEAPs (hours);
FORMULA_1_6_8;ALGORITHM1_6;Cost of installation and configuration of TEAPs (currency units);
FORMULA_1_6_9;ALGORITHM1_6;Time budget for installation of indoor cable ducts (hours);
FORMULA_1_6_10;ALGORITHM1_6;Cost of installation of indoor cable ducts (currency units);
FORMULA_1_6_11;ALGORITHM1_6;Time budget for installation of indoor subscriber lines (hours);
FORMULA_1_6_12;ALGORITHM1_6;Cost of installation of indoor subscriber lines (currency units);
FORMULA_1_6_13;ALGORITHM1_6;Time budget for the construction of new infrastructure for hanging-up cables (hours);
FORMULA_1_6_14;ALGORITHM1_6;Cost of the installation of new infrastructure for hanging-up cables (currency units);
FORMULA_1_6_15;ALGORITHM1_6;Time budget for installation of outdoor hanged-up lines (hours);
FORMULA_1_6_16;ALGORITHM1_6;Cost of installation of outdoor hanged-up lines (currency units);
FORMULA_1_6_17;ALGORITHM1_6;Time budget for of outdoor lines in the duct (hours);
FORMULA_1_6_18;ALGORITHM1_6;Cost of installation of outdoor lines in the duct (currency units);
ALGORITHM1_7;METHOD1;Algorithm for determining the operational cost for access network;
FORMULA_1_7_1;ALGORITHM1_7;Annual labor costs for the operation of AOEs (hours/year);
FORMULA_1_7_2;ALGORITHM1_7;Power consumption for access organization equipment (kWh/year);
FORMULA_1_7_3;ALGORITHM1_7;Operational cost for access organization equipment (currency units/year);
FORMULA_1_7_4;ALGORITHM1_7;Annual labor costs for the TEAPs operation TEAP (hours/year);
FORMULA_1_7_5;ALGORITHM1_7;Power consumption for technical equipment of access provision (kWh/year);
FORMULA_1_7_6;ALGORITHM1_7;Operational cost for technical equipment of access provision (currency units/year);
FORMULA_1_7_7;ALGORITHM1_7;Annual labor costs for service of indoor subscriber lines (hours/year);
FORMULA_1_7_8;ALGORITHM1_7;Cost of service of indoor subscriber lines (currency units/year);
FORMULA_1_7_9;ALGORITHM1_7;Annual labor costs for service of hanged-up lines (hours/year);
FORMULA_1_7_10;ALGORITHM1_7;Cost of service of hanged-up lines (currency units/year);
FORMULA_1_7_11;ALGORITHM1_7;Annual labor costs for service of lines in cable duct (hours/year);
FORMULA_1_7_12;ALGORITHM1_7;Cost for service of lines in cable duct (currency units/year);
FORMULA_1_7_13;ALGORITHM1_7;Annual labor costs for new infrastructure (pillars) service for hanging-up cables  (hours/year);
FORMULA_1_7_14;ALGORITHM1_7;Cost of new infrastructure service for hanging-up cables (pillars);
FORMULA_1_7_15;ALGORITHM1_7;Rent costs the outdoor cable duct for the cable (currency units/year);
FORMULA_1_7_16;ALGORITHM1_7;Rent cost the pillars for the hanged-up cable (currency units/year);
ALGORITHM1_8;METHOD1;Algorithm for calculating NPV;
FORMULA_1_8_1;ALGORITHM1_8;Design and licensing costs (currency units);
FORMULA_1_8_2;ALGORITHM1_8;Total investment costs for access networks deployment (currency units);
FORMULA_1_8_3;ALGORITHM1_8;Net income (currency units/year);
FORMULA_1_8_4;ALGORITHM1_8;Tax on Profit (currency units/year);
FORMULA_1_8_5;ALGORITHM1_8;Net profit (Annual cash flow) (currency units/year);
FORMULA_1_8_6;ALGORITHM1_8;Discounted cash flow (currency units/year);
FORMULA_1_8_7;ALGORITHM1_8;Net Present Value (currency units/year);
METHOD2;;Methodology for selecting affordable technology for connecting a locality to broadband transport backbones;
ALGORITHM2_0;METHOD2;Algorithm for necessary network channel capacity calculation for specific object;
FORMULA_2_0_1;ALGORITHM2_0;Duration of the one session (seconds);
FORMULA_2_0_2;ALGORITHM2_0;Expected request intensity by users (requests/hour);
FORMULA_2_0_3;ALGORITHM2_0;External channel load by users (Erlangs);
FORMULA_2_0_4;ALGORITHM2_0;Number of parallel sessions (sessions);
FORMULA_2_0_5;ALGORITHM2_0;Overall network channel capacity (Mbit/s);
FORMULA_2_0_6;ALGORITHM2_0;Necessary (sufficient) network channel capacity (Mbit/s);
ALGORITHM2_1;METHOD2;Algorithm for overall FOCL construction cost evaluation;
FORMULA_2_1_1;ALGORITHM2_1;Overall length of the FOCL construction site (km);
FORMULA_2_1_2;ALGORITHM2_1;The average FOCL sections length requiring the construction of cable ducts (km);
FORMULA_2_1_3;ALGORITHM2_1;The average FOCL sections length requiring cable-laying machine (km);
FORMULA_2_1_4;ALGORITHM2_1;Number of cable manholes (CMh) (units);
FORMULA_2_1_5;ALGORITHM2_1;Number of cable couplings   (units);
FORMULA_2_1_6;ALGORITHM2_1;Overall geodetic work along the object route (currency units);
FORMULA_2_1_7;ALGORITHM2_1;Total FOCL cost along route (currency units);
FORMULA_2_1_8;ALGORITHM2_1;Overall cost for FOCL sections construction of horizontal directional drilling, located at the crossings of roads (currency units);
FORMULA_2_1_9;ALGORITHM2_1;Overall cost for FOCL section construction requiring the cable duct  (currency units);
FORMULA_2_1_10;ALGORITHM2_1;Overall cost for FOCL section construction requiring the cable laying machine  (currency units);
FORMULA_2_1_11;ALGORITHM2_1;Overall cost for FOCL signaling test (currency units);
FORMULA_2_1_12;ALGORITHM2_1;Total cost of technical specifications design (currency units);
FORMULA_2_1_13;ALGORITHM2_1;Total cost of design solutions coordination (currency units);
FORMULA_2_1_14;ALGORITHM2_1;Design cost (currency units);
FORMULA_2_1_15;ALGORITHM2_1;Overall cost of FOCL installation (currency units);
FORMULA_2_1_16;ALGORITHM2_1;Cost of equipment and materials for the construction of fiber optic lines;
ALGORITHM2_2;METHOD2;Algorithm for overall FOCL  maintenance cost evaluation;
FORMULA_2_2_1;ALGORITHM2_2;FOCL maintenance cost along the route (currency units/year);
FORMULA_2_2_2;ALGORITHM2_2;Cable duct maintenance cost (currency units/year);
