METHODOLOGY;ALGORITHM;FORMULA;PNAME;PDESC;UNIT;RSTART;REND;STEP;DVALUE;TYPE;TYPE2;SORTA;SORTM;CONT
METHOD4;ALL;;;;;;;;;;;;;
METHOD4;ALGORITHM4_1;ALL;;;;;;;;;;;;
METHOD4;ALGORITHM4_1;FORMULA_4_1_1;Coordinates.LonFirst;Longitude of the first object;radians;-180.0000000;180.0000000;0.0000001;35.8008955;IM;IM;1;1;INPUT
METHOD4;ALGORITHM4_1;FORMULA_4_1_1;Coordinates.LatFirst;Latitude of the first object;radians;-90.0000000;90.0000000;0.0000001;0.4400018;IM;IM;1;1;INPUT
METHOD4;ALGORITHM4_1;FORMULA_4_1_1;Coordinates.LonSecond;Longitude of the second object;radians;-180.0000000;180.0000000;0.0000001;35.8055039;IM;IM;1;1;INPUT
METHOD4;ALGORITHM4_1;FORMULA_4_1_1;Coordinates.LatSecond;Latitude of the second object;radians;-90.0000000;90.0000000;0.0000001;0.4263895;IM;IM;1;1;INPUT
METHOD4;ALGORITHM4_1;FORMULA_4_1_2;Files.ListOfObjects;Filename with list of objects and their coordinates;filename;0.0000000;100.0000000;1.0000000;coordinates.csv;ID;ID;1;1;INPUT
METHOD4;ALGORITHM4_1;FORMULA_4_1_3;Files.ListOfObjects;Filename with list of objects and their coordinates;filename;0.0000000;100.0000000;1.0000000;coordinates.csv;IM;IM;1;1;INPUT
METHOD4;ALGORITHM4_2;ALL;;;;;;;;;;1;1;
METHOD4;ALGORITHM4_2;FORMULA_4_2_1;Files.ListOfObjects;Filename with list of objects and their coordinates and required bandwidth ;filename;0.0000000;100.0000000;1.0000000;coordinates.csv;ID;IM;1;1;INPUT
METHOD4;ALGORITHM4_2;FORMULA_4_2_1;Files.DistanceMatrix;Filename with matrix of distances between objects;filename;0.0000000;100.0000000;1.0000000;distances.csv;ID;ID;1;1;INPUT
