DEVICENUMBER;BITRATE;INTENCITY;DATAVOLUME
31;4;0.42;275
31;1.5;0.004;135
31;0.75;0;0
31;1.5;0.005;50
31;0.75;0;0
31;1.125;0.0025;250
31;0.75;0.08;5
31;0.75;0.34;5
31;0.75;0.175;1.5
31;0.375;0.2;1.5
31;0.375;0.2;1.5
31;0;0;0
31;0;0;0
31;0;0;0
31;0;0;0
31;0;0;0
31;0;0;0
31;0;0;0
31;1;0;0
31;0;0;0
31;0;0;0
31;32;0;0
191;4;0.42;275
191;1.5;0.004;135
191;0.75;0;0
191;1.5;0.005;50
191;0.75;0;0
191;1.125;0.0025;250
191;0.75;0.08;5
191;0.75;0.34;5
191;0.75;0.175;1.5
191;0.375;0.2;1.5
191;0.375;0.2;1.5
191;0;0;0
191;0;0;0
191;0;0;0
191;0;0;0
191;0;0;0
191;0;0;0
191;0;0;0
191;1;0;0
191;0;0;0
191;0;0;0
191;32;0;0
0;4;0.42;275
0;1.5;0.004;135
0;0.75;0;0
0;1.5;0.005;50
0;0.75;0;0
0;1.125;0.0025;250
0;0.75;0.08;5
0;0.75;0.34;5
0;0.75;0.175;1.5
0;0.375;0.2;1.5
0;0.375;0.2;1.5
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;1;0;0
0;0;0;0
0;0;0;0
0;32;0;0
0;4;0.42;275
0;1.5;0.004;135
0;0.75;0;0
0;1.5;0.005;50
0;0.75;0;0
0;1.125;0.0025;250
0;0.75;0.08;5
0;0.75;0.34;5
0;0.75;0.175;1.5
0;0.375;0.2;1.5
0;0.375;0.2;1.5
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;1;0;0
0;0;0;0
0;0;0;0
0;32;0;0
0;4;0.42;275
0;1.5;0.004;135
0;0.75;0;0
0;1.5;0.005;50
0;0.75;0;0
0;1.125;0.0025;250
0;0.75;0.08;5
0;0.75;0.34;5
0;0.75;0.175;1.5
0;0.375;0.2;1.5
0;0.375;0.2;1.5
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;1;0;0
0;0;0;0
0;0;0;0
0;32;0;0
0;4;0.42;275
0;1.5;0.004;135
0;0.75;0;0
0;1.5;0.005;50
0;0.75;0;0
0;1.125;0.0025;250
0;0.75;0.08;5
0;0.75;0.34;5
0;0.75;0.175;1.5
0;0.375;0.2;1.5
0;0.375;0.2;1.5
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;1;0;0
0;0;0;0
0;0;0;0
0;32;0;0
4;4;0.42;275
4;1.5;0.004;135
4;0.75;0;0
4;1.5;0.005;50
4;0.75;0;0
4;1.125;0.0025;250
4;0.75;0.08;5
4;0.75;0.34;5
4;0.75;0.175;1.5
4;0.375;0.2;1.5
4;0.375;0.2;1.5
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;1;0;0
4;0;0;0
4;0;0;0
4;32;0;0
16;4;0.42;275
16;1.5;0.004;135
16;0.75;0;0
16;1.5;0.005;50
16;0.75;0;0
16;1.125;0.0025;250
16;0.75;0.08;5
16;0.75;0.34;5
16;0.75;0.175;1.5
16;0.375;0.2;1.5
16;0.375;0.2;1.5
16;0;0;0
16;0;0;0
16;0;0;0
16;0;0;0
16;0;0;0
16;0;0;0
16;0;0;0
16;1;0;0
16;0;0;0
16;0;0;0
16;32;0;0
2;4;0.42;275
2;1.5;0.004;135
2;0.75;0;0
2;1.5;0.005;50
2;0.75;0;0
2;1.125;0.0025;250
2;0.75;0.08;5
2;0.75;0.34;5
2;0.75;0.175;1.5
2;0.375;0.2;1.5
2;0.375;0.2;1.5
2;0;0;0
2;0;0;0
2;0;0;0
2;0;0;0
2;0;0;0
2;0;0;0
2;0;0;0
2;1;0;0
2;0;0;0
2;0;0;0
2;32;0;0
4;4;0.42;275
4;1.5;0.004;135
4;0.75;0;0
4;1.5;0.005;50
4;0.75;0;0
4;1.125;0.0025;250
4;0.75;0.08;5
4;0.75;0.34;5
4;0.75;0.175;1.5
4;0.375;0.2;1.5
4;0.375;0.2;1.5
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;0;0;0
4;1;0;0
4;0;0;0
4;0;0;0
4;32;0;0
5;4;0.42;275
5;1.5;0.004;135
5;0.75;0;0
5;1.5;0.005;50
5;0.75;0;0
5;1.125;0.0025;250
5;0.75;0.08;5
5;0.75;0.34;5
5;0.75;0.175;1.5
5;0.375;0.2;1.5
5;0.375;0.2;1.5
5;0;0;0
5;0;0;0
5;0;0;0
5;0;0;0
5;0;0;0
5;0;0;0
5;0;0;0
5;1;0;0
5;0;0;0
5;0;0;0
5;32;0;0
