,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School Identification
(this section is used for unique identification of school. In some cases they also could be used for clasterisation. School Name could be missed, in this case schools will receive automatic names during the data import (f.e. School #1, School #2 etc.), but you could not miss all three fields)",,,,"Geographical Location and Infrastructure Presence
(this section is used by methodology of connecting schools to broadband transport backbones (Middle-Mile))",,,,,"Users
(this section is used for calculation number of devices that will be used in school)","Building
(this section is used by LAN methodology for calculating CAPEX & OPEX for school LAN & Hotspot)",Devices,,,,,,,,,,,,,,,,,,,,Building,,,,,"Data entering completeness
(this section is used for demonstrating if it is all necessary information was intered for particular school (in the row) for future processing and caclulations)",,
#,School Name,Region,Subregion,Lattitude,Longtitude,"Type of Cell Coverage
(2G / 3G / 4G)","Availability of electricity
(Yes / No)","Distance to the fiber, km",Total number of users*,"School building area, square meters",Total number of pupils,Number of pupils in primary school,Number of pupils in secondary school,Number of pupils in high school,Number of teachers,Number of administrative personnel,Number of expected guests,Workstations in primary school classrooms and labratories ,Mobile devices of primary school pupils,Workstations in secondary school and labratories ,Mobile devices of secondary school pupils,Workstations in high school classrooms and labratories ,Mobile devices of high school pupils,Workstations in teachers' offices,Mobile devices of teachers,Workstations in administrative personnel' offices,Mobile devices of administrative personnel,Mobile devices of guests,The total number of computers (workstations),The total number of mobile devices,"School building area, square meters","School building area length, meters","School building area width, meters","School inner yard area,  square meters","Area of one floor in school building, square meters",Middle-Mile,LAN,Topology
,,,,,,,,,,,Assumptions (you can change persentage bellow to apply these assumption to all schools in the list or directly put your values instead assumed values),,,,,,,,,,,,,,,,,,,,"Assumptions
(you can change persentage bellow to apply these assumption to all schools in the list or directly put your values instead assumed values)",,,,,,,
,,,,,,,,,,,"Percentage of pupils from total number of users, %","Percentage of pupils in primary school, %","Percentage of pupils in secondary school, %","Percentage of pupils in high school, %","Percentage of teachers from from total number of users, %","Percentage of administrative personnel from total number of users, %","Percentage of guests from from total number of users, %","Average number of computers (workstations) in primary school classrooms and labratories  per 100 pupils, computers","Percentage of pupils who use mobile devices in primary school, %","Average number of computers (workstations) in secondary school classrooms and labratories  per 100 pupils, computers","Percentage of pupils who use mobile devices in secondary school, %","Average number of computers (workstations) in high school classrooms and labratories  per 100 pupils, computers","Percentage of pupils who use mobile devices in high school, %","Percentage of teachers who have personal workstation in the office, %","Percentage of teachers who use mobile devices, %","Percentage of administrative personnel who have personal workstation in the office, %","Percentage of administrative personnel who use mobile devices, %","Percentage of guests who use mobile devices, %",,,"Average area of school building per one user, square meters per user","Ratio between length and width of the school building (for example 4:3 = 1,33)",,"Percentage of inner yard area from area of one floor of school building, %","Number of floors in school building, floors",,,
,,,,,,,,,,,90,30,30,40,5,3,2,5,30,5,40,10,60,20,80,40,90,100,,,5,1.33,,20,3,,,
1,Adhibohol,Garissa,Hadado,1.698527813,39.21347046,3G,Yes,81.36,1000,4000,900,270,270,360,50,30,20,13,81,13,108,36,216,10,40,12,27,20,84,492,4000,49,27,267,1333,2,2,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,0,0
